utility_bill_payment,service_deposit_required,debt_collection_history,savings_account,employment_tenure,additional_income,housing_status,eviction_history,community_savings_group,mobile_money_account,credit_score
Always on time,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,No,Own,"Yes, once",No,"Yes, actively used",663
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",811
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",715
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, rarely used",729
Never paid,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, rarely used",630
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",721
Always on time,No,No,No,1 to 3 years,No,Own,No,No,"Yes, actively used",732
Frequently late,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",601
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",664
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, actively used",739
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",777
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",761
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Own,No,"Yes, active member",No,749
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Own,"Yes, once",No,"Yes, actively used",738
Always on time,No,No,No,1 to 3 years,No,Own,No,"Yes, inactive member",No,738
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, regularly",Own,No,No,"Yes, rarely used",739
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",757
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",694
Always on time,No,No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, actively used",775
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,No,752
Never paid,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",625
Frequently late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,"Yes, active member","Yes, rarely used",656
Occasionally late,No,No,"Yes, but limited",Less than 6 months,No,Live with family/friends,No,"Yes, inactive member","Yes, actively used",669
Never paid,No,No,No,Less than 6 months,No,Own,No,No,"Yes, rarely used",548
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",764
Never paid,No,No,"Yes, but limited",Over 3 years,No,Own,No,No,"Yes, rarely used",660
Always on time,"Yes, but refunded",No,No,1 to 3 years,"Yes, occasionally",Live with family/friends,No,"Yes, active member","Yes, actively used",725
Always on time,No,No,No,Less than 6 months,No,Rent,No,"Yes, active member",No,667
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, rarely used",742
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",705
Always on time,No,No,No,6 months to 1 year,"Yes, regularly",Rent,No,No,No,708
Occasionally late,No,No,No,1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",685
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,"Yes, inactive member",No,684
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,"Yes, occasionally",Own,"Yes, once",No,"Yes, rarely used",724
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, rarely used",771
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",714
Occasionally late,No,No,No,1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",672
Always on time,"Yes, but refunded","Yes, more than once","Yes, but limited",Over 3 years,No,Own,No,No,"Yes, rarely used",655
Occasionally late,"Yes, not refunded",No,"Yes, sufficient",1 to 3 years,No,Own,"Yes, once",No,"Yes, rarely used",632
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",683
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",736
Frequently late,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Live with family/friends,"Yes, more than once","Yes, active member","Yes, rarely used",539
Always on time,No,"Yes, more than once","Yes, but limited",Over 3 years,No,Live with family/friends,No,"Yes, active member","Yes, actively used",707
Always on time,"Yes, but refunded","Yes, once",No,1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",647
Frequently late,"Yes, not refunded",No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",550
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",763
Always on time,No,No,No,6 months to 1 year,No,Own,No,No,"Yes, actively used",708
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, rarely used",687
Always on time,"Yes, not refunded",No,"Yes, but limited",Less than 6 months,No,Own,No,No,No,645
Occasionally late,"Yes, but refunded",No,No,Over 3 years,No,Rent,No,No,No,649
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, active member","Yes, actively used",765
Always on time,"Yes, not refunded",No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",751
Never paid,No,No,"Yes, but limited",Less than 6 months,No,Rent,"Yes, once",No,No,539
Always on time,No,No,No,Over 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",759
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, actively used",775
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,"Yes, more than once",No,"Yes, actively used",727
Occasionally late,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, actively used",662
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",752
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, rarely used",769
Occasionally late,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",679
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",767
Always on time,"Yes, but refunded","Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",639
Always on time,"Yes, not refunded",No,No,1 to 3 years,No,Rent,No,No,"Yes, actively used",637
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, rarely used",779
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",774
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,No,Own,"Yes, more than once","Yes, inactive member","Yes, rarely used",624
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",764
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, rarely used",688
Occasionally late,No,No,No,6 months to 1 year,No,Own,No,No,"Yes, actively used",701
Never paid,No,No,No,6 months to 1 year,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, rarely used",602
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Rent,"Yes, once",No,"Yes, actively used",688
Frequently late,No,No,No,Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",653
Always on time,No,"Yes, once",No,Over 3 years,No,Own,No,No,"Yes, actively used",704
Never paid,No,No,No,Over 3 years,No,Own,No,"Yes, active member","Yes, actively used",646
Always on time,"Yes, not refunded","Yes, once",No,6 months to 1 year,"Yes, occasionally",Live with family/friends,No,No,"Yes, rarely used",559
Never paid,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",715
Never paid,"Yes, not refunded","Yes, once","Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,"Yes, active member","Yes, rarely used",472
Occasionally late,"Yes, but refunded",No,No,Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",634
Never paid,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",624
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,No,Own,"Yes, more than once",No,"Yes, rarely used",641
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",721
Always on time,"Yes, but refunded",No,No,1 to 3 years,No,Live with family/friends,No,"Yes, active member","Yes, actively used",716
Always on time,"Yes, not refunded","Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, actively used",601
Always on time,No,"Yes, more than once","Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",651
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",641
Never paid,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",647
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",795
Occasionally late,No,No,No,1 to 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",686
Frequently late,"Yes, but refunded",No,No,Less than 6 months,No,Own,No,No,"Yes, actively used",581
Frequently late,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member",No,664
Never paid,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member",No,639
Always on time,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",729
Never paid,No,No,No,Over 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",659
Occasionally late,No,No,No,1 to 3 years,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",755
Always on time,No,No,No,Less than 6 months,No,Own,No,No,"Yes, actively used",708
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",717
Occasionally late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, rarely used",629
Always on time,No,No,No,6 months to 1 year,No,Rent,"Yes, more than once",No,"Yes, actively used",640
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",751
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",684
Always on time,No,No,No,Over 3 years,No,Live with family/friends,No,No,"Yes, actively used",719
Always on time,No,No,No,6 months to 1 year,No,Own,No,No,"Yes, actively used",711
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,No,Own,No,No,"Yes, rarely used",732
Always on time,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Own,"Yes, once",No,"Yes, actively used",664
Always on time,No,No,No,Over 3 years,"Yes, regularly",Own,No,No,"Yes, rarely used",806
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",800
Always on time,"Yes, not refunded",No,No,Over 3 years,No,Own,No,No,"Yes, actively used",695
Frequently late,No,"Yes, once",No,Less than 6 months,No,Rent,"Yes, once","Yes, inactive member","Yes, actively used",509
Always on time,No,No,No,1 to 3 years,No,Rent,No,No,"Yes, actively used",709
Occasionally late,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,No,"Yes, inactive member",No,667
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",713
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",764
Occasionally late,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",684
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",698
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Rent,"Yes, once",No,"Yes, actively used",687
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Live with family/friends,No,"Yes, active member","Yes, actively used",812
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",607
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",765
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, actively used",693
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,"Yes, once",No,"Yes, actively used",745
Always on time,No,No,No,1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",682
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",774
Frequently late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Own,"Yes, once",No,"Yes, rarely used",613
Never paid,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, actively used",624
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, rarely used",761
Occasionally late,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",639
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, active member",No,771
Always on time,"Yes, not refunded",No,No,Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",680
Occasionally late,"Yes, but refunded","Yes, once","Yes, sufficient",1 to 3 years,No,Own,"Yes, once",No,"Yes, actively used",599
Frequently late,No,"Yes, once",No,Over 3 years,No,Rent,No,No,"Yes, actively used",602
Never paid,"Yes, but refunded",No,No,Less than 6 months,No,Own,No,No,"Yes, actively used",560
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, more than once",No,No,629
Always on time,No,"Yes, more than once","Yes, sufficient",6 months to 1 year,No,Own,No,No,"Yes, actively used",683
Occasionally late,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",610
Always on time,No,No,No,1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",765
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",846
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",762
Occasionally late,"Yes, but refunded",No,No,Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",647
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,"Yes, once",No,"Yes, rarely used",727
Always on time,No,No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, active member","Yes, actively used",765
Frequently late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Own,"Yes, more than once",No,"Yes, actively used",634
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, inactive member",No,729
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",651
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",764
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Own,No,No,"Yes, actively used",719
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, active member","Yes, rarely used",818
Always on time,No,No,No,1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",688
Frequently late,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,No,"Yes, actively used",670
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,"Yes, once",No,"Yes, actively used",758
Never paid,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",605
Always on time,No,No,No,Over 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",760
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,"Yes, more than once",No,"Yes, rarely used",669
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,"Yes, active member",No,812
Always on time,"Yes, but refunded","Yes, once",No,1 to 3 years,No,Own,No,No,"Yes, actively used",615
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",692
Always on time,"Yes, but refunded","Yes, more than once","Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,"Yes, once",No,"Yes, rarely used",592
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",762
Frequently late,No,No,No,6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",621
Frequently late,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Own,No,"Yes, active member",No,697
Frequently late,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",636
Always on time,No,"Yes, more than once",No,Over 3 years,"Yes, regularly",Own,"Yes, once",No,"Yes, rarely used",657
Occasionally late,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, rarely used",665
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,"Yes, more than once",No,"Yes, actively used",706
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,"Yes, more than once",No,"Yes, rarely used",733
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",757
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Own,No,No,No,742
Always on time,"Yes, not refunded",No,No,Over 3 years,"Yes, regularly",Own,No,No,No,709
Always on time,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, rarely used",708
Frequently late,No,No,"Yes, but limited",Over 3 years,No,Own,No,"Yes, active member","Yes, rarely used",716
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,"Yes, once",No,"Yes, rarely used",708
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, rarely used",710
Always on time,"Yes, not refunded",No,"Yes, sufficient",Over 3 years,"Yes, regularly",Rent,"Yes, more than once","Yes, active member","Yes, rarely used",692
Frequently late,"Yes, but refunded","Yes, once","Yes, sufficient",1 to 3 years,No,Rent,No,"Yes, active member",No,566
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",741
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, actively used",745
Occasionally late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",712
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Own,No,No,No,668
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,No,"Yes, rarely used",782
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",642
Occasionally late,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,"Yes, once",No,"Yes, actively used",715
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",720
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, rarely used",680
Frequently late,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, inactive member",No,653
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,"Yes, active member","Yes, actively used",752
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",754
Always on time,No,No,No,6 months to 1 year,No,Rent,No,"Yes, active member","Yes, rarely used",708
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",741
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,"Yes, active member","Yes, rarely used",738
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,"Yes, inactive member","Yes, rarely used",740
Always on time,"Yes, not refunded",No,No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",705
Always on time,"Yes, not refunded",No,No,Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",670
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",777
Always on time,"Yes, but refunded",No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",706
Never paid,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",593
Always on time,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,"Yes, more than once",No,"Yes, rarely used",578
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,No,Own,No,No,No,691
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,No,Own,No,"Yes, active member","Yes, rarely used",747
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,No,Own,No,No,"Yes, actively used",755
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, rarely used",702
Occasionally late,"Yes, but refunded","Yes, once",No,Over 3 years,"Yes, occasionally",Rent,"Yes, more than once","Yes, active member","Yes, actively used",561
Never paid,No,No,No,1 to 3 years,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, actively used",566
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, rarely used",794
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",724
Occasionally late,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",597
Occasionally late,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, rarely used",642
Always on time,No,No,No,6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",702
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, actively used",739
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",731
Occasionally late,"Yes, but refunded",No,No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",658
Occasionally late,No,No,No,6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",654
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",746
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, inactive member",No,730
Frequently late,No,No,No,Over 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",629
Occasionally late,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, rarely used",616
Never paid,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",663
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, actively used",648
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",745
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",714
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, rarely used",734
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, rarely used",719
Always on time,"Yes, not refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",694
Occasionally late,No,No,No,6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",678
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,"Yes, regularly",Own,"Yes, once",No,"Yes, rarely used",759
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",724
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, rarely used",699
Never paid,No,No,No,6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",591
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",756
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",790
Occasionally late,No,No,No,1 to 3 years,"Yes, regularly",Own,"Yes, once","Yes, active member","Yes, actively used",682
Always on time,No,"Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, actively used",670
Occasionally late,No,"Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, regularly",Own,"Yes, once","Yes, active member",No,609
Occasionally late,No,"Yes, once",No,Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",621
Always on time,"Yes, but refunded","Yes, more than once","Yes, but limited",1 to 3 years,No,Own,No,"Yes, active member","Yes, rarely used",662
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Live with family/friends,"Yes, once","Yes, inactive member","Yes, actively used",725
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",728
Always on time,No,No,No,Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",762
Frequently late,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",628
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",686
Occasionally late,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,"Yes, once","Yes, active member","Yes, actively used",741
Occasionally late,No,"Yes, more than once","Yes, but limited",Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, rarely used",581
Always on time,No,No,No,Over 3 years,"Yes, occasionally",Own,"Yes, once","Yes, inactive member","Yes, actively used",741
Frequently late,No,"Yes, once","Yes, sufficient",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",599
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, rarely used",716
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",735
Frequently late,No,No,No,Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",713
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",720
Occasionally late,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",663
Always on time,No,"Yes, more than once",No,1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",639
Always on time,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",705
